pclass,gender,age,sibling,fare,embark_town,survived
3,male,22,1,7.25,Southampton,no
1,female,38,1,71.2833,Cherbourg,yes
3,female,26,0,7.925,Southampton,yes
1,female,35,1,53.1,Southampton,yes
3,male,35,0,8.05,Southampton,no
1,male,54,0,51.8625,Southampton,no
3,male,2,3,21.075,Southampton,no
3,female,27,0,11.1333,Southampton,yes
2,female,14,1,30.0708,Cherbourg,yes
3,female,4,1,16.7,Southampton,yes
1,female,58,0,26.55,Southampton,yes
3,male,20,0,8.05,Southampton,no
3,male,39,1,31.275,Southampton,no
3,female,14,0,7.8542,Southampton,no
2,female,55,0,16,Southampton,yes
3,male,2,4,29.125,Queenstown,no
3,female,31,1,18,Southampton,no
2,male,35,0,26,Southampton,no
2,male,34,0,13,Southampton,yes
3,female,15,0,8.0292,Queenstown,yes
1,male,28,0,35.5,Southampton,yes
3,female,8,3,21.075,Southampton,no
3,female,38,1,31.3875,Southampton,yes
1,male,19,3,263,Southampton,no
1,male,40,0,27.7208,Cherbourg,no
2,male,66,0,10.5,Southampton,no
1,male,28,1,82.1708,Cherbourg,no
1,male,42,1,52,Southampton,no
3,male,21,0,8.05,Southampton,no
3,female,18,2,18,Southampton,no
3,female,14,1,11.2417,Cherbourg,yes
3,female,40,1,9.475,Southampton,no
2,female,27,1,21,Southampton,no
2,female,3,1,41.5792,Cherbourg,yes
3,female,19,0,7.8792,Queenstown,yes
3,female,18,1,17.8,Southampton,no
3,male,7,4,39.6875,Southampton,no
3,male,21,0,7.8,Southampton,no
1,female,49,1,76.7292,Cherbourg,yes
2,female,29,1,26,Southampton,yes
1,male,65,0,61.9792,Cherbourg,no
2,female,21,0,10.5,Southampton,yes
3,male,28.5,0,7.2292,Cherbourg,no
2,female,5,1,27.75,Southampton,yes
3,male,11,5,46.9,Southampton,no
3,male,22,0,7.2292,Cherbourg,no
1,male,45,1,83.475,Southampton,no
3,male,4,3,27.9,Southampton,no
2,female,29,0,10.5,Southampton,yes
3,male,19,0,8.1583,Southampton,no
